Temperature,Humidity,Wind,Pressure,Cloud Cover,Precipitation
41.3,62,17.2,983.2,70,45
31.5,40,0.9,1004.5,0,45
19.9,42,20.3,1045.1,57,99
27.3,99,1.3,1006.5,89,15
38.3,66,13.5,1038.2,86,23
29.4,34,27.9,1039.0,89,60
44.6,44,5.0,1006.1,5,53
26.3,55,11.7,1024.2,69,61
37.5,94,21.9,986.7,43,0
26.8,70,26.5,987.3,71,48
39.9,34,20.1,983.4,23,24
32.1,87,7.7,1020.7,85,9
16.9,40,20.2,1009.8,18,79
16.1,32,8.9,1018.4,17,15
19.0,38,21.6,1016.5,94,57
15.4,53,28.6,1004.5,29,71
17.3,97,21.6,1027.4,41,28
35.8,87,25.9,1033.1,32,91
31.0,71,0.1,981.0,73,5
37.5,46,21.5,994.5,11,15
42.4,48,24.9,1029.9,93,19
32.6,47,1.2,1007.1,26,79
36.8,54,26.1,1026.4,38,70
37.7,27,7.7,1004.3,8,77
26.3,35,20.0,1007.4,20,42
22.2,55,24.0,991.1,75,25
21.2,49,19.9,998.1,28,89
22.5,37,2.8,1022.4,32,77
23.2,21,17.9,1010.3,61,70
21.2,68,16.5,1034.2,14,32
41.3,96,27.0,1039.7,1,25
37.7,23,12.1,1017.9,51,44
16.4,94,9.6,1033.1,43,83
23.1,26,22.5,1001.5,53,62
15.7,93,12.4,1009.0,17,66
29.9,58,19.4,1029.9,2,51
29.3,32,19.4,1007.0,6,67
39.9,50,26.6,1021.2,42,25
24.2,90,18.0,993.0,81,74
39.5,82,15.1,1022.0,37,1
44.0,75,4.2,1040.3,36,13
17.7,61,3.5,1040.8,57,29
38.8,80,4.6,1030.7,32,48
32.7,61,5.2,1032.2,58,11
29.4,75,19.1,1019.1,94,89
27.6,55,22.2,1020.9,10,43
38.5,87,15.9,989.4,67,32
34.2,26,24.9,1011.1,81,12
39.2,73,29.7,1011.6,67,77
42.1,20,24.6,1047.1,97,87
33.5,63,20.8,1010.2,92,97
44.4,64,16.0,1018.5,87,25
33.2,66,13.5,1017.3,21,20
34.1,32,2.5,1024.6,65,27
31.6,41,12.0,1032.4,43,47
17.7,40,27.3,995.8,5,99
36.8,28,24.2,1017.0,41,39
31.4,45,6.5,1037.8,24,65
28.5,28,14.0,1012.4,56,72
42.3,34,24.5,999.5,84,86
23.9,29,2.0,1025.8,54,78
30.7,61,11.6,1037.7,15,76
35.9,91,25.6,984.4,94,22
38.9,43,12.1,1034.4,13,80
28.8,99,2.3,1037.5,38,47
40.3,68,16.3,1012.3,27,1
38.1,45,25.9,1048.8,95,83
17.0,56,17.7,1035.1,91,19
16.4,87,6.8,1034.2,50,58
33.6,69,11.5,1032.3,48,45
25.4,43,13.5,990.5,8,2
21.3,38,17.4,995.2,57,54
32.4,79,22.8,1012.5,44,11
25.2,58,3.0,998.5,21,39
31.1,93,26.7,1009.1,31,65
28.8,37,0.4,1042.2,68,99
32.5,38,11.1,1037.7,86,77
27.0,55,0.8,1024.1,68,15
35.9,93,11.8,1040.1,41,82
20.4,74,15.8,1034.9,52,33
35.9,88,15.4,1010.0,95,43
27.3,66,5.0,994.1,58,5
41.2,68,19.4,1016.0,73,76
30.5,52,1.3,1031.5,38,63
44.2,40,22.9,1010.5,14,99
33.1,41,28.4,1026.7,70,21
21.7,67,10.2,986.6,28,17
39.7,56,15.5,1032.4,2,11
25.4,34,11.4,1036.9,82,51
25.4,54,0.2,1029.5,9,93
16.0,90,11.6,1047.7,91,50
31.5,51,23.8,1037.9,28,70
31.0,30,17.9,1043.2,78,95
25.7,29,3.0,1045.3,34,47
41.8,92,25.4,1036.1,5,18
18.9,97,15.9,1027.2,11,5
24.9,96,25.3,980.4,37,83
24.6,76,17.4,1012.6,76,26
17.8,44,16.8,1020.0,92,52
29.4,21,3.2,1001.3,18,47
35.6,83,5.0,1002.3,66,6
30.3,54,29.2,1047.3,7,58
19.7,26,6.9,1042.4,7,68
26.3,37,29.3,1039.4,83,10
15.1,86,16.0,1008.4,46,14
41.0,61,4.1,981.0,3,63
17.5,58,3.0,985.6,50,2
32.9,60,6.3,1001.9,84,68
44.6,94,27.8,981.1,66,22
31.1,43,12.4,981.2,44,52
42.7,79,11.9,1044.2,7,36
22.1,65,9.4,1029.4,86,8
37.8,38,4.4,1001.6,15,14
30.9,87,14.6,989.3,76,2
36.6,61,3.9,1015.8,66,92
16.9,51,25.1,980.4,8,69
19.4,58,11.1,1045.7,59,16
19.0,55,11.2,1009.0,77,25
35.6,55,14.2,1008.2,76,20
40.3,22,13.3,1007.3,70,71
37.5,92,29.8,984.9,14,20
15.9,27,16.4,1024.7,70,10
41.0,89,2.6,1031.3,97,37
25.6,60,18.2,1027.3,40,71
26.9,87,4.5,989.7,21,87
18.1,32,0.9,1020.5,23,34
37.1,68,29.1,1019.9,43,13
20.5,79,23.2,1040.8,0,13
31.9,21,29.4,1006.5,9,9
40.2,79,14.3,1006.0,79,11
17.7,24,16.0,1023.3,71,37
31.1,63,5.1,1024.3,55,33
22.0,46,7.4,1012.8,88,40
25.3,51,25.2,1011.0,49,9
29.2,40,10.7,1014.6,11,16
25.7,27,24.8,1040.3,88,16
34.5,91,21.3,1012.3,80,66
29.4,69,5.3,1045.8,59,61
32.5,86,15.2,1015.3,25,94
37.1,63,20.3,1046.4,77,0
31.7,77,7.1,1038.3,40,11
32.6,22,24.9,1005.4,35,3
31.9,89,16.3,1040.5,22,41
26.4,21,5.0,987.7,42,12
25.1,63,17.5,1044.8,5,97
42.0,21,30.0,1024.2,68,84
33.2,54,4.5,983.8,42,85
22.3,49,24.5,1025.1,24,3
29.9,27,6.2,1048.2,17,81
24.9,41,23.5,984.9,61,68
43.0,63,22.0,1018.8,12,18
15.2,77,9.0,1032.3,42,1
21.8,55,9.8,1036.7,77,11
26.0,88,23.8,1009.0,27,80
29.6,96,13.8,994.3,17,73
40.5,50,21.9,983.0,58,97
17.6,66,4.4,1020.6,59,5
39.2,74,25.6,1011.7,62,7
16.7,99,21.3,1046.4,56,50
40.3,81,27.2,984.2,91,10
16.5,49,4.0,1028.0,50,62
15.5,74,17.8,981.7,55,56
35.9,35,18.0,992.0,26,11
44.9,31,10.6,1011.8,31,72
41.9,36,13.8,1011.8,8,1
32.3,35,1.1,1028.0,95,7
42.5,31,22.4,1043.7,83,10
15.2,27,16.5,1024.7,91,52
44.3,22,1.7,1046.7,96,99
29.7,35,20.4,1041.7,67,9
36.7,49,14.0,1020.9,45,84
39.6,42,1.0,1038.4,97,83
36.6,24,29.1,1025.0,66,7
31.1,84,28.5,985.5,25,35
29.3,49,15.4,1031.8,7,92
40.2,40,2.8,986.6,5,75
21.2,89,22.6,1021.6,79,13
44.0,41,14.8,1029.2,23,53
36.3,91,9.1,984.7,47,84
21.0,51,14.7,996.2,93,85
37.1,52,15.7,1044.1,44,20
30.9,35,16.9,1023.1,12,49
36.2,95,13.2,997.2,68,93
38.0,57,18.2,1028.3,24,38
17.6,33,27.6,1021.8,19,19
30.2,55,10.9,1015.1,81,87
43.0,42,21.8,1048.3,81,86
24.6,85,26.8,1027.8,65,6
32.8,21,13.7,1006.3,73,8
26.1,92,13.3,1036.0,44,0
28.6,84,18.1,1041.9,46,25
31.5,94,17.7,988.8,62,37
31.5,86,24.2,994.0,75,37
21.1,71,14.3,995.1,76,60
35.5,81,29.9,1028.4,54,43
17.6,42,1.8,1022.2,74,85
19.2,45,0.1,1023.3,18,43
15.1,87,19.2,1045.9,34,73
18.5,74,9.0,1034.3,52,61
29.2,25,7.2,989.0,25,5
33.2,54,9.4,1004.3,13,16
38.8,41,7.7,1010.5,44,50
18.2,62,0.9,1007.7,43,37
40.5,34,29.1,1026.9,87,23
37.4,79,6.6,1042.4,64,50
27.3,31,22.0,1001.4,50,9
43.0,68,22.9,1018.6,42,71
44.7,61,27.9,1035.3,85,20
21.2,57,0.9,1009.1,22,69
26.4,64,26.2,991.8,55,84
42.8,54,15.8,1013.2,18,56
36.6,49,19.0,983.9,81,38
16.4,49,19.3,1046.0,75,87
38.4,97,24.6,985.2,54,32
39.8,25,10.0,1010.7,91,58
37.5,86,22.0,1017.1,91,17
39.0,99,15.9,1049.0,59,55
39.8,26,23.8,991.6,58,91
20.6,71,29.7,988.0,32,56
22.1,33,6.0,980.6,18,95
34.0,92,29.8,990.9,27,75
42.2,34,2.7,994.5,51,47
24.5,40,0.1,1024.1,48,41
32.6,54,1.3,995.4,36,26
35.5,85,10.3,981.4,25,73
28.6,21,19.0,1037.9,98,51
36.4,54,2.1,1005.6,97,41
42.0,97,0.2,1004.8,98,31
